run_id,case,direction,transport,reliability,payload_bytes,target_frequency_hz,nominal_period_ms,n_intervals,inter_send_mean_ms,inter_send_std_ms,inter_send_min_ms,inter_send_max_ms,jitter_ratio
exp_constrained_pub_only_xcdr__cpp_to_cpp__1000000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_only_xcdr,cpp_to_cpp,shmem_ds,best_effort,1000000,10.0,100.0,300,99.95924678335587,0.5569857923312725,98.63687399029732,101.08957800269127,0.00557212874501187
exp_constrained_pub_only_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_only_xcdr,cpp_to_cpp,shmem_ds,best_effort,100000,10.0,100.0,300,99.96003612995148,0.5541560952759986,98.98054498434067,101.00119400024414,0.005543776460380394
exp_constrained_pub_only_xcdr__cpp_to_py__1000000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_only_xcdr,cpp_to_py,shmem_ds,best_effort,1000000,10.0,100.0,300,99.95956874330838,0.5576045107134481,98.65151199698448,101.07816702127457,0.005578300484122246
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_only_xcdr,cpp_to_py,shmem_ds,best_effort,100000,10.0,100.0,300,99.96013617664576,0.5529776783008159,98.96486899256706,101.01913198828697,0.005531982042557592
exp_constrained_pub_only_xcdr__py_to_cpp__1000000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_only_xcdr,py_to_cpp,shmem_ds,best_effort,1000000,10.0,100.0,300,99.98493744333585,0.6206940955580309,98.70020499825478,101.22201400995255,0.006207876020423525
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_only_xcdr,py_to_cpp,shmem_ds,best_effort,100000,10.0,100.0,300,99.98602800339461,0.6326919262143035,98.65333098173141,102.34573101997375,0.0063278033826168496
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_only_xcdr,py_to_py,shmem_ds,best_effort,1000000,10.0,100.0,300,99.98485929002365,0.6260184585340083,98.45587101578712,101.45846801996231,0.006261132565263024
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_only_xcdr,py_to_py,shmem_ds,best_effort,100000,10.0,100.0,300,99.9871155766646,0.6037121048536515,98.73306301236153,101.27868101000786,0.006037898997003852
exp_constrained_pub_sub_xcdr__cpp_to_cpp__1000000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_sub_xcdr,cpp_to_cpp,shmem_ds,best_effort,1000000,10.0,100.0,300,99.95861018657685,0.5567141844869232,98.60745599865913,101.01537200808525,0.005569447028603072
exp_constrained_pub_sub_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_sub_xcdr,cpp_to_cpp,shmem_ds,best_effort,100000,10.0,100.0,300,99.96008906334639,0.5533015714607153,98.95627999305725,101.0031090080738,0.00553522487470053
exp_constrained_pub_sub_xcdr__cpp_to_py__1000000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_sub_xcdr,cpp_to_py,shmem_ds,best_effort,1000000,10.0,100.0,300,99.95908320337534,0.5554151805068321,98.7141959965229,100.98702099919319,0.005556425316314599
exp_constrained_pub_sub_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,exp_constrained_pub_sub_xcdr,cpp_to_py,shmem_ds,best_effort,100000,10.0,100.0,300,99.96020723332961,0.5525616442033412,98.97381100058556,100.98378500342369,0.005527816113001227
