run_id,n,mean,std,min,max,p50,p95,p99,achieved_hz,message,config,backend,direction,payload_bytes,target_frequency_hz,transport,reliability,step_index,n_publish,n_receive,drop_rate,case
exp_constrained_pub_only_xcdr__cpp_to_cpp__1000000B__10Hz__shmem_ds__best_effort,301,115.3486511627907,42.43167083607763,52.267,576.055,111.147,176.34,206.746,10.037423906445678,exp,constrained_pub_only,xcdr,cpp_to_cpp,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,exp_constrained_pub_only_xcdr
exp_constrained_pub_only_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,301,111.61297674418606,38.40936729110219,54.272,525.98,105.266,173.072,189.323,10.037344644698592,exp,constrained_pub_only,xcdr,cpp_to_cpp,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,exp_constrained_pub_only_xcdr
exp_constrained_pub_only_xcdr__cpp_to_py__1000000B__10Hz__shmem_ds__best_effort,301,236.84448172757476,52.08360317794043,131.625,412.949,229.277,327.931,363.918,10.037391576884422,exp,constrained_pub_only,xcdr,cpp_to_py,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,exp_constrained_pub_only_xcdr
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,301,235.5194950166113,51.47374315918238,128.859,408.83,224.658,330.535,385.547,10.03733459866512,exp,constrained_pub_only,xcdr,cpp_to_py,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,exp_constrained_pub_only_xcdr
exp_constrained_pub_only_xcdr__py_to_cpp__1000000B__10Hz__shmem_ds__best_effort,301,105.1323953488372,37.300626647995855,49.953,376.764,97.843,168.896,207.398,10.034844837523398,exp,constrained_pub_only,xcdr,py_to_cpp,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,exp_constrained_pub_only_xcdr
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,301,145.3908803986711,38.22053338550254,59.741,465.65,143.618,206.596,234.709,10.034735386227005,exp,constrained_pub_only,xcdr,py_to_cpp,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,exp_constrained_pub_only_xcdr
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,301,204.88193023255815,46.56665788163373,116.779,415.438,201.888,293.73,325.871,10.034852681276734,exp,constrained_pub_only,xcdr,py_to_py,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,exp_constrained_pub_only_xcdr
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,301,240.763488372093,130.10901232480924,125.656,2220.015,227.836,331.571,414.376,10.034626237057633,exp,constrained_pub_only,xcdr,py_to_py,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,exp_constrained_pub_only_xcdr
exp_constrained_pub_sub_xcdr__cpp_to_cpp__1000000B__10Hz__shmem_ds__best_effort,301,133.9093488372093,35.371424607837135,59.552,431.4,129.013,199.385,235.252,10.037487830809862,exp,constrained_pub_sub,xcdr,cpp_to_cpp,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,exp_constrained_pub_sub_xcdr
exp_constrained_pub_sub_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,301,132.08842857142858,42.362127569159156,47.169,354.966,125.526,191.56,218.791,10.037339329476138,exp,constrained_pub_sub,xcdr,cpp_to_cpp,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,exp_constrained_pub_sub_xcdr
