case,message,config,backend,direction,transport,reliability,target_frequency_hz,mean,std,p50,p95,p99,n_runs
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,cpp_to_cpp,shmem_ds,best_effort,10.0,113.48081395348837,40.48002573997152,107.4555,174.62145,206.54232000000005,2
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,cpp_to_py,shmem_ds,best_effort,10.0,236.18198837209303,51.74072380962885,226.512,329.91294999999997,382.6537500000002,2
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,py_to_cpp,shmem_ds,best_effort,10.0,125.26163787375414,42.77336459076375,126.23599999999999,194.30005,226.16305000000003,2
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,py_to_py,shmem_ds,best_effort,10.0,222.8227093023256,99.27196957234327,210.454,320.29544999999996,377.09803000000016,2
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,cpp_to_cpp,shmem_ds,best_effort,10.0,132.99888870431894,39.00179781170347,128.481,194.08594999999997,233.83169000000007,2
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,cpp_to_py,shmem_ds,best_effort,10.0,245.22539368770765,69.3162811149983,244.278,348.5665499999997,476.0479200000005,2
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,py_to_cpp,shmem_ds,best_effort,10.0,136.39616943521597,40.59968859537135,135.32999999999998,205.063,276.66913000000005,2
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,py_to_py,shmem_ds,best_effort,10.0,239.67505481727574,60.41764490843311,235.70850000000002,344.70894999999996,445.75615000000005,2
exp_copy_xcdr,exp,copy,xcdr,cpp_to_cpp,shmem_ds,best_effort,10.0,376.6402375415283,282.61068854761925,282.65,939.6494999999996,1154.9157200000002,2
exp_copy_xcdr,exp,copy,xcdr,cpp_to_py,shmem_ds,best_effort,10.0,468.72374916943517,258.6633942052982,402.3565,988.926,1200.96331,2
exp_copy_xcdr,exp,copy,xcdr,py_to_cpp,shmem_ds,best_effort,10.0,440.12374252491696,262.5439713388177,365.4865,987.1193999999999,1187.9261900000001,2
exp_copy_xcdr,exp,copy,xcdr,py_to_py,shmem_ds,best_effort,10.0,536.4476295681063,277.03920828756293,438.1245,1080.5036999999993,1226.4877900000001,2
std_copy_fastcdr,std,copy,fastcdr,cpp_to_cpp,shmem_ds,best_effort,10.0,578.2804401993355,395.57013063278583,414.38149999999996,1332.4298999999985,1567.2232000000001,2
std_copy_fastcdr,std,copy,fastcdr,cpp_to_py,shmem_ds,best_effort,10.0,1520.7912757475083,1113.510059219404,1465.8525,3029.9946999999993,3192.73184,2
std_copy_fastcdr,std,copy,fastcdr,py_to_cpp,shmem_ds,best_effort,10.0,689.2528986710963,468.13158674274933,558.8299999999999,1467.5209,1974.5655900000002,2
std_copy_fastcdr,std,copy,fastcdr,py_to_py,shmem_ds,best_effort,10.0,1452.4168222591363,1027.2432113882435,1508.7044999999998,2905.1884999999997,3306.638170000001,2
std_copy_xcdr,std,copy,xcdr,cpp_to_cpp,shmem_ds,best_effort,10.0,464.2712408637874,313.7331147778629,356.0635,1106.5217499999999,1289.91089,2
std_copy_xcdr,std,copy,xcdr,cpp_to_py,shmem_ds,best_effort,10.0,817.1572292358804,489.6216026460751,674.9055000000001,1611.5168999999999,1807.3712500000001,2
std_copy_xcdr,std,copy,xcdr,py_to_cpp,shmem_ds,best_effort,10.0,568.1067325581396,380.3884099431501,446.86,1291.2058499999994,1451.15989,2
std_copy_xcdr,std,copy,xcdr,py_to_py,shmem_ds,best_effort,10.0,1391.4629867109634,1059.0766347204824,1277.121,2914.5770999999995,3421.5312400000007,2
