case,message,config,backend,direction,transport,reliability,payload_bytes,mean,std,p50,p95,p99,n_runs
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,cpp_to_cpp,shmem_ds,best_effort,100000,111.61297674418606,38.40936729110219,105.266,173.072,189.323,1
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,cpp_to_cpp,shmem_ds,best_effort,1000000,115.3486511627907,42.43167083607763,111.147,176.34,206.746,1
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,cpp_to_py,shmem_ds,best_effort,100000,235.5194950166113,51.47374315918238,224.658,330.535,385.547,1
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,cpp_to_py,shmem_ds,best_effort,1000000,236.84448172757476,52.08360317794043,229.277,327.931,363.918,1
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,py_to_cpp,shmem_ds,best_effort,100000,145.3908803986711,38.22053338550254,143.618,206.596,234.709,1
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,py_to_cpp,shmem_ds,best_effort,1000000,105.1323953488372,37.300626647995855,97.843,168.896,207.398,1
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,py_to_py,shmem_ds,best_effort,100000,240.763488372093,130.10901232480924,227.836,331.571,414.376,1
exp_constrained_pub_only_xcdr,exp,constrained_pub_only,xcdr,py_to_py,shmem_ds,best_effort,1000000,204.88193023255815,46.56665788163373,201.888,293.73,325.871,1
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,cpp_to_cpp,shmem_ds,best_effort,100000,132.08842857142858,42.362127569159156,125.526,191.56,218.791,1
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,cpp_to_cpp,shmem_ds,best_effort,1000000,133.9093488372093,35.371424607837135,129.013,199.385,235.252,1
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,cpp_to_py,shmem_ds,best_effort,100000,215.68677408637873,61.2804197993301,216.116,314.93,344.416,1
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,cpp_to_py,shmem_ds,best_effort,1000000,274.76401328903654,64.18210548364048,269.165,371.637,508.524,1
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,py_to_cpp,shmem_ds,best_effort,100000,144.08702990033223,30.40919154842995,140.815,204.475,227.057,1
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,py_to_cpp,shmem_ds,best_effort,1000000,128.70530897009968,47.52632899997873,127.008,209.665,293.322,1
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,py_to_py,shmem_ds,best_effort,100000,239.7639003322259,57.278033754224076,237.256,342.274,386.698,1
exp_constrained_pub_sub_xcdr,exp,constrained_pub_sub,xcdr,py_to_py,shmem_ds,best_effort,1000000,239.58620930232556,63.497734459790266,234.822,362.202,450.728,1
exp_copy_xcdr,exp,copy,xcdr,cpp_to_cpp,shmem_ds,best_effort,100000,177.39981727574752,71.0845546380963,155.885,284.348,372.545,1
exp_copy_xcdr,exp,copy,xcdr,cpp_to_cpp,shmem_ds,best_effort,1000000,575.880657807309,274.39512184027456,488.014,1033.838,1368.05,1
exp_copy_xcdr,exp,copy,xcdr,cpp_to_py,shmem_ds,best_effort,100000,286.1188073089701,75.69269720029854,265.813,425.084,490.077,1
exp_copy_xcdr,exp,copy,xcdr,cpp_to_py,shmem_ds,best_effort,1000000,651.3286910299003,247.7815861132962,571.681,1107.736,1335.267,1
exp_copy_xcdr,exp,copy,xcdr,py_to_cpp,shmem_ds,best_effort,100000,252.40287707641198,96.26334162927672,234.484,416.258,648.628,1
exp_copy_xcdr,exp,copy,xcdr,py_to_cpp,shmem_ds,best_effort,1000000,627.844607973422,241.05732336742196,559.329,1078.963,1283.19,1
exp_copy_xcdr,exp,copy,xcdr,py_to_py,shmem_ds,best_effort,100000,331.7791926910299,83.66863415615246,308.644,468.167,562.685,1
exp_copy_xcdr,exp,copy,xcdr,py_to_py,shmem_ds,best_effort,1000000,741.1160664451827,250.39816697472494,684.657,1145.73,1239.357,1
std_copy_fastcdr,std,copy,fastcdr,cpp_to_cpp,shmem_ds,best_effort,100000,244.301,69.18621782758953,228.571,351.133,469.486,1
std_copy_fastcdr,std,copy,fastcdr,cpp_to_cpp,shmem_ds,best_effort,1000000,912.259880398671,291.30424209005093,864.07,1420.389,1775.419,1
std_copy_fastcdr,std,copy,fastcdr,cpp_to_py,shmem_ds,best_effort,100000,437.65658471760804,102.34934926539736,409.912,610.751,847.988,1
std_copy_fastcdr,std,copy,fastcdr,cpp_to_py,shmem_ds,best_effort,1000000,2603.9259667774086,345.3754584403263,2632.762,3120.491,3323.626,1
std_copy_fastcdr,std,copy,fastcdr,py_to_cpp,shmem_ds,best_effort,100000,275.6211794019934,58.25807364386825,266.022,396.759,499.172,1
std_copy_fastcdr,std,copy,fastcdr,py_to_cpp,shmem_ds,best_effort,1000000,1102.8846179401994,303.8220632387158,1080.64,1555.536,2079.295,1
std_copy_fastcdr,std,copy,fastcdr,py_to_py,shmem_ds,best_effort,100000,458.6181495016611,91.57495757578904,448.396,616.654,741.77,1
std_copy_fastcdr,std,copy,fastcdr,py_to_py,shmem_ds,best_effort,1000000,2446.2154950166114,351.75679655181864,2333.888,3005.587,3381.527,1
std_copy_xcdr,std,copy,xcdr,cpp_to_cpp,shmem_ds,best_effort,100000,216.80089700996677,61.69678514698061,201.0,328.22,383.014,1
std_copy_xcdr,std,copy,xcdr,cpp_to_cpp,shmem_ds,best_effort,1000000,711.741584717608,265.49409954866616,655.769,1164.381,1341.056,1
std_copy_xcdr,std,copy,xcdr,cpp_to_py,shmem_ds,best_effort,100000,400.6418671096346,94.13594878831155,374.447,576.85,631.644,1
std_copy_xcdr,std,copy,xcdr,cpp_to_py,shmem_ds,best_effort,1000000,1233.6725913621262,351.0975472146959,1195.368,1673.572,1943.813,1
std_copy_xcdr,std,copy,xcdr,py_to_cpp,shmem_ds,best_effort,100000,255.04867774086378,71.94989339426293,239.643,358.397,447.095,1
std_copy_xcdr,std,copy,xcdr,py_to_cpp,shmem_ds,best_effort,1000000,881.1647873754154,296.7021320172494,813.248,1350.625,1519.894,1
std_copy_xcdr,std,copy,xcdr,py_to_py,shmem_ds,best_effort,100000,371.3257541528239,96.53033986009802,347.076,571.862,635.162,1
std_copy_xcdr,std,copy,xcdr,py_to_py,shmem_ds,best_effort,1000000,2411.600219269103,386.535286846904,2318.947,3088.583,3536.722,1
