run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:20:50.932260Z,156844594407956,156844594407956,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:20:51.032839Z,156844694963444,156844694963444,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:20:51.133054Z,156844795221034,156844795221034,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:20:51.233565Z,156844895724330,156844895724330,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:20:51.332879Z,156844995015914,156844995015914,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:20:51.433705Z,156845095836039,156845095836039,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:20:51.532834Z,156845194977254,156845194977254,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:20:51.632996Z,156845295151428,156845295151428,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:20:51.732732Z,156845394894471,156845394894471,-1,-1,-1,ok,
exp_constrained_pub_only_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:20:51.832277Z,156845494437202,156845494437202,-1,-1,-1,ok,
