run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:23:09.309813Z,156982971889356,156982971889356,156982971889356,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:23:09.410207Z,156983072327749,156983072327749,156983072327749,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:23:09.509470Z,156983171572683,156983171572683,156983171572683,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:23:09.608777Z,156983270907956,156983270907956,156983270907956,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:23:09.708217Z,156983370335471,156983370335471,156983370335471,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:23:09.808714Z,156983470833716,156983470833716,156983470833716,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:23:09.909082Z,156983571200294,156983571200294,156983571200294,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:23:10.010207Z,156983672319129,156983672319129,156983672319129,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:23:10.109013Z,156983771149274,156983771149274,156983771149274,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:23:10.208955Z,156983871069895,156983871069895,156983871069895,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:23:10.307942Z,156983970073414,156983970073414,156983970073414,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:23:10.407400Z,156984069529147,156984069529147,156984069529147,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:23:10.507339Z,156984169465308,156984169465308,156984169465308,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:23:10.606392Z,156984268521225,156984268521225,156984268521225,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:23:10.705925Z,156984368039775,156984368039775,156984368039775,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:23:10.806324Z,156984468408183,156984468408183,156984468408183,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:23:10.906118Z,156984568242213,156984568242213,156984568242213,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:23:11.005570Z,156984667693719,156984667693719,156984667693719,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:23:11.105784Z,156984767905590,156984767905590,156984767905590,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,19,2026-09-09T14:23:11.206434Z,156984868554397,156984868554397,156984868554397,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,20,2026-09-09T14:23:11.305435Z,156984967554144,156984967554144,156984967554144,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,21,2026-09-09T14:23:11.406115Z,156985068234831,156985068234831,156985068234831,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,22,2026-09-09T14:23:11.506343Z,156985168475135,156985168475135,156985168475135,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,23,2026-09-09T14:23:11.606012Z,156985268142219,156985268142219,156985268142219,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,24,2026-09-09T14:23:11.705401Z,156985367527797,156985367527797,156985367527797,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,25,2026-09-09T14:23:11.806341Z,156985468468830,156985468468830,156985468468830,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,26,2026-09-09T14:23:11.906442Z,156985568529879,156985568529879,156985568529879,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,27,2026-09-09T14:23:12.005053Z,156985667183210,156985667183210,156985667183210,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,28,2026-09-09T14:23:12.104591Z,156985766671255,156985766671255,156985766671255,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,29,2026-09-09T14:23:12.205113Z,156985867245519,156985867245519,156985867245519,-1,-1,ok,
