run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:24:19.994968Z,157053657044642,157053657044642,157053657044642,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:24:20.095373Z,157053757494612,157053757494612,157053757494612,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:24:20.194479Z,157053856613381,157053856613381,157053856613381,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:24:20.293912Z,157053956041479,157053956041479,157053956041479,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:24:20.393313Z,157054055447275,157054055447275,157054055447275,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:24:20.494095Z,157054156181598,157054156181598,157054156181598,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:24:20.594252Z,157054256372754,157054256372754,157054256372754,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:24:20.695288Z,157054357379986,157054357379986,157054357379986,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:24:20.794129Z,157054456269927,157054456269927,157054456269927,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:24:20.894165Z,157054556272851,157054556272851,157054556272851,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:24:20.993117Z,157054655235618,157054655235618,157054655235618,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:24:21.092433Z,157054754568572,157054754568572,157054754568572,-1,-1,ok,
