run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:27:48.945175Z,157262607285953,157262607285953,157262607285953,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:27:49.045711Z,157262707854830,157262707854830,157262707854830,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:27:49.144741Z,157262806888043,157262806888043,157262806888043,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:27:49.244238Z,157262906389988,157262906389988,157262906389988,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:27:49.343585Z,157263005745276,157263005745276,157263005745276,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:27:49.444143Z,157263106300149,157263106300149,157263106300149,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:27:49.544782Z,157263206894367,157263206894367,157263206894367,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:27:49.645301Z,157263307454700,157263307454700,157263307454700,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:27:49.744512Z,157263406653435,157263406653435,157263406653435,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:27:49.844334Z,157263506476552,157263506476552,157263506476552,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:27:49.943266Z,157263605420677,157263605420677,157263605420677,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:27:50.042791Z,157263704940466,157263704940466,157263704940466,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:27:50.142704Z,157263804861200,157263804861200,157263804861200,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:27:50.242044Z,157263904169214,157263904169214,157263904169214,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:27:50.341329Z,157264003444715,157264003444715,157264003444715,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:27:50.441685Z,157264103817570,157264103817570,157264103817570,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:27:50.541817Z,157264203944572,157264203944572,157264203944572,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:27:50.641170Z,157264303297709,157264303297709,157264303297709,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:27:50.741288Z,157264403416596,157264403416596,157264403416596,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,19,2026-09-09T14:27:50.841992Z,157264504119341,157264504119341,157264504119341,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,20,2026-09-09T14:27:50.940993Z,157264603120657,157264603120657,157264603120657,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,21,2026-09-09T14:27:51.041563Z,157264703694220,157264703694220,157264703694220,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,22,2026-09-09T14:27:51.142012Z,157264804150465,157264804150465,157264804150465,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,23,2026-09-09T14:27:51.241680Z,157264903807887,157264903807887,157264903807887,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,24,2026-09-09T14:27:51.340940Z,157265003076940,157265003076940,157265003076940,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,25,2026-09-09T14:27:51.441914Z,157265104041841,157265104041841,157265104041841,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,26,2026-09-09T14:27:51.541568Z,157265203695466,157265203695466,157265203695466,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,27,2026-09-09T14:27:51.640940Z,157265303043568,157265303043568,157265303043568,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,28,2026-09-09T14:27:51.739833Z,157265401973273,157265401973273,157265401973273,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,29,2026-09-09T14:27:51.840537Z,157265502674988,157265502674988,157265502674988,-1,-1,ok,
