run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:28:59.400102Z,157333062204361,157333062204361,157333062204361,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:28:59.500475Z,157333162618184,157333162618184,157333162618184,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:28:59.599546Z,157333261683378,157333261683378,157333261683378,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:28:59.699084Z,157333361223807,157333361223807,157333361223807,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:28:59.798512Z,157333460659018,157333460659018,157333460659018,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:28:59.899203Z,157333561337188,157333561337188,157333561337188,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:28:59.999384Z,157333661510588,157333661510588,157333661510588,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:29:00.100351Z,157333762459801,157333762459801,157333762459801,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:29:00.199368Z,157333861500493,157333861500493,157333861500493,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:29:00.299407Z,157333961510859,157333961510859,157333961510859,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:29:00.398298Z,157334060439619,157334060439619,157334060439619,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:29:00.497825Z,157334159919477,157334159919477,157334159919477,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:29:00.597897Z,157334259977482,157334259977482,157334259977482,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:29:00.696723Z,157334358856037,157334358856037,157334358856037,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:29:00.796108Z,157334458240185,157334458240185,157334458240185,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:29:00.896511Z,157334558628372,157334558628372,157334558628372,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:29:00.996528Z,157334658656992,157334658656992,157334658656992,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:29:01.096190Z,157334758279523,157334758279523,157334758279523,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:29:01.196446Z,157334858554430,157334858554430,157334858554430,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,19,2026-09-09T14:29:01.297061Z,157334959126947,157334959126947,157334959126947,-1,-1,ok,
exp_constrained_pub_sub_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_sub,exp,xcdr,shmem_ds,100000,10,0,measured,20,2026-09-09T14:29:01.395773Z,157335057902641,157335057902641,157335057902641,-1,-1,ok,
