run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:39:27.531387Z,157961193184720,157961193184720,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:39:27.631666Z,157961293753028,157961293753028,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:39:27.731931Z,157961394031006,157961394031006,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:39:27.832458Z,157961494537157,157961494537157,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:39:27.931742Z,157961593810865,157961593810865,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:39:28.032545Z,157961694618838,157961694618838,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:39:28.131741Z,157961793808247,157961793808247,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:39:28.231888Z,157961893954368,157961893954368,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:39:28.331625Z,157961993699939,157961993699939,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:39:28.431161Z,157962093247286,157962093247286,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:39:28.530945Z,157962193029969,157962193029969,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:39:28.629977Z,157962292055027,157962292055027,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:39:28.730026Z,157962392103773,157962392103773,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:39:28.830467Z,157962492479016,157962492479016,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:39:28.930692Z,157962592749622,157962592749622,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:39:29.031355Z,157962693402030,157962693402030,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:39:29.132221Z,157962794293681,157962794293681,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:39:29.232729Z,157962894795495,157962894795495,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:39:29.332619Z,157962994698154,157962994698154,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,19,2026-09-09T14:39:29.431727Z,157963093789440,157963093789440,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,20,2026-09-09T14:39:29.530837Z,157963192918677,157963192918677,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,21,2026-09-09T14:39:29.631341Z,157963293415740,157963293415740,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,22,2026-09-09T14:39:29.730632Z,157963392713937,157963392713937,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,23,2026-09-09T14:39:29.830457Z,157963492561302,157963492561302,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,24,2026-09-09T14:39:29.929697Z,157963591765350,157963591765350,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,25,2026-09-09T14:39:30.028983Z,157963691052577,157963691052577,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,26,2026-09-09T14:39:30.128148Z,157963790239984,157963790239984,-1,-1,-1,ok,
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,27,2026-09-09T14:39:30.228262Z,157963890308178,157963890308178,-1,-1,-1,ok,
