run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:41:45.760608Z,158099422496433,158099422496433,158099422496433,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:41:45.861027Z,158099523066025,158099523066025,158099523066025,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:41:45.960126Z,158099622159372,158099622159372,158099622159372,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:41:46.060020Z,158099721806247,158099721806247,158099721806247,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:41:46.159122Z,158099821142224,158099821142224,158099821142224,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:41:46.259530Z,158099921571010,158099921571010,158099921571010,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:41:46.359992Z,158100021980530,158100021980530,158100021980530,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:41:46.460785Z,158100122771471,158100122771471,158100122771471,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:41:46.559881Z,158100221918270,158100221918270,158100221918270,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:41:46.659670Z,158100321718355,158100321718355,158100321718355,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:41:46.758709Z,158100420766227,158100420766227,158100420766227,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:41:46.858227Z,158100520250525,158100520250525,158100520250525,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:41:46.958184Z,158100620229188,158100620229188,158100620229188,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:41:47.057216Z,158100719265167,158100719265167,158100719265167,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:41:47.156589Z,158100818649696,158100818649696,158100818649696,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:41:47.256977Z,158100919010675,158100919010675,158100919010675,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:41:47.357037Z,158101019068599,158101019068599,158101019068599,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:41:47.456486Z,158101118519393,158101118519393,158101118519393,-1,-1,ok,
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,exp,xcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:41:47.556622Z,158101218672328,158101218672328,158101218672328,-1,-1,ok,
