run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:42:56.107079Z,158169768749425,158169768749425,158169768749425,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:42:56.207295Z,158169869326093,158169869326093,158169869326093,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:42:56.306260Z,158169968323038,158169968323038,158169968323038,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:42:56.405869Z,158170067921033,158170067921033,158170067921033,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:42:56.505193Z,158170167279773,158170167279773,158170167279773,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:42:56.605869Z,158170267852584,158170267852584,158170267852584,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:42:56.706087Z,158170368150293,158170368150293,158170368150293,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:42:56.806960Z,158170468968959,158170468968959,158170468968959,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:42:56.906149Z,158170568156786,158170568156786,158170568156786,-1,-1,ok,
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,exp,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:42:57.006044Z,158170668038087,158170668038087,158170668038087,-1,-1,ok,
