run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:31:19.009774Z,157472671725246,157472671725246,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:31:19.110180Z,157472772294081,157472772294081,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:31:19.210547Z,157472872582666,157472872582666,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:31:19.311006Z,157472973080227,157472973080227,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:31:19.410239Z,157473072350823,157473072350823,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:31:19.511044Z,157473173156905,157473173156905,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:31:19.610293Z,157473272347852,157473272347852,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:31:19.710381Z,157473372495413,157473372495413,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:31:19.810158Z,157473472245514,157473472245514,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:31:19.909694Z,157473571789626,157473571789626,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:31:20.009468Z,157473671571597,157473671571597,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:31:20.108492Z,157473770598348,157473770598348,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:31:20.208524Z,157473870642745,157473870642745,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:31:20.308890Z,157473971013880,157473971013880,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:31:20.409222Z,157474071290215,157474071290215,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:31:20.509868Z,157474171941668,157474171941668,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:31:20.610744Z,157474272830748,157474272830748,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:31:20.711250Z,157474373337056,157474373337056,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:31:20.811115Z,157474473231572,157474473231572,-1,-1,-1,ok,
