run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:30:09.754622Z,157403416361625,157403416361625,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:30:09.854867Z,157403516934234,157403516934234,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:30:09.955134Z,157403617210053,157403617210053,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:30:10.055642Z,157403717715876,157403717715876,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:30:10.154918Z,157403816990593,157403816990593,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:30:10.255701Z,157403917793608,157403917793608,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:30:10.354938Z,157404016985718,157404016985718,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:30:10.455036Z,157404117132968,157404117132968,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:30:10.554884Z,157404216882969,157404216882969,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:30:10.654348Z,157404316427174,157404316427174,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:30:10.754174Z,157404416210216,157404416210216,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:30:10.853170Z,157404515233239,157404515233239,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:30:10.953207Z,157404615283897,157404615283897,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:30:11.053534Z,157404715647776,157404715647776,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:30:11.153839Z,157404815924743,157404815924743,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:30:11.254470Z,157404916576785,157404916576785,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:30:11.355393Z,157405017468259,157405017468259,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:30:11.455883Z,157405117969438,157405117969438,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:30:11.555888Z,157405217884463,157405217884463,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,19,2026-09-09T14:30:11.654903Z,157405316964885,157405316964885,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,20,2026-09-09T14:30:11.754016Z,157405416096104,157405416096104,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,21,2026-09-09T14:30:11.854557Z,157405516596131,157405516596131,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,22,2026-09-09T14:30:11.953855Z,157405615892901,157405615892901,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,23,2026-09-09T14:30:12.053667Z,157405715740179,157405715740179,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,24,2026-09-09T14:30:12.152865Z,157405814942865,157405814942865,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,25,2026-09-09T14:30:12.252149Z,157405914228546,157405914228546,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,26,2026-09-09T14:30:12.351331Z,157406013417686,157406013417686,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,27,2026-09-09T14:30:12.451380Z,157406113476013,157406113476013,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,28,2026-09-09T14:30:12.551293Z,157406213369199,157406213369199,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,29,2026-09-09T14:30:12.651859Z,157406313916006,157406313916006,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,30,2026-09-09T14:30:12.751144Z,157406413163646,157406413163646,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,31,2026-09-09T14:30:12.851652Z,157406513659999,157406513659999,-1,-1,-1,ok,
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,32,2026-09-09T14:30:12.951269Z,157406613304677,157406613304677,-1,-1,-1,ok,
