run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:32:28.226033Z,157541888080388,157541888080388,157541888080388,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:32:28.326642Z,157541988675182,157541988675182,157541988675182,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:32:28.425695Z,157542087722596,157542087722596,157542087722596,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:32:28.525226Z,157542187269743,157542187269743,157542187269743,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:32:28.624708Z,157542286716622,157542286716622,157542286716622,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:32:28.725286Z,157542387255028,157542387255028,157542387255028,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:32:28.825426Z,157542487490756,157542487490756,157542487490756,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:32:28.926239Z,157542588248588,157542588248588,157542588248588,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:32:29.025533Z,157542687518712,157542687518712,157542687518712,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:32:29.125433Z,157542787410182,157542787410182,157542787410182,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:32:29.224384Z,157542886388387,157542886388387,157542886388387,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:32:29.323711Z,157542985766016,157542985766016,157542985766016,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:32:29.423751Z,157543085791579,157543085791579,157543085791579,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:32:29.522787Z,157543184846129,157543184846129,157543184846129,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:32:29.622252Z,157543284280385,157543284280385,157543284280385,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:32:29.722630Z,157543384635629,157543384635629,157543384635629,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:32:29.822634Z,157543484673124,157543484673124,157543484673124,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:32:29.922151Z,157543584142606,157543584142606,157543584142606,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:32:30.022323Z,157543684335053,157543684335053,157543684335053,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,19,2026-09-09T14:32:30.123043Z,157543785019179,157543785019179,157543785019179,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,20,2026-09-09T14:32:30.221863Z,157543883900535,157543883900535,157543883900535,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,21,2026-09-09T14:32:30.322557Z,157543984574342,157543984574342,157543984574342,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,22,2026-09-09T14:32:30.423209Z,157544085099528,157544085099528,157544085099528,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,23,2026-09-09T14:32:30.522655Z,157544184654624,157544184654624,157544184654624,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,24,2026-09-09T14:32:30.621927Z,157544283927177,157544283927177,157544283927177,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,25,2026-09-09T14:32:30.722985Z,157544384899037,157544384899037,157544384899037,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,26,2026-09-09T14:32:30.822445Z,157544484492916,157544484492916,157544484492916,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,27,2026-09-09T14:32:30.921833Z,157544583778754,157544583778754,157544583778754,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,28,2026-09-09T14:32:31.020954Z,157544682924768,157544682924768,157544682924768,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,29,2026-09-09T14:32:31.121565Z,157544783579943,157544783579943,157544783579943,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,30,2026-09-09T14:32:31.221712Z,157544883727548,157544883727548,157544883727548,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,31,2026-09-09T14:32:31.322393Z,157544984391077,157544984391077,157544984391077,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,32,2026-09-09T14:32:31.422816Z,157545084834181,157545084834181,157545084834181,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,33,2026-09-09T14:32:31.522926Z,157545184945970,157545184945970,157545184945970,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,34,2026-09-09T14:32:31.623859Z,157545285867997,157545285867997,157545285867997,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,35,2026-09-09T14:32:31.723596Z,157545385627231,157545385627231,157545385627231,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,36,2026-09-09T14:32:31.823676Z,157545485725313,157545485725313,157545485725313,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,37,2026-09-09T14:32:31.924387Z,157545586398762,157545586398762,157545586398762,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,38,2026-09-09T14:32:32.024696Z,157545686676233,157545686676233,157545686676233,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,39,2026-09-09T14:32:32.125598Z,157545787511128,157545787511128,157545787511128,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,40,2026-09-09T14:32:32.225550Z,157545887544810,157545887544810,157545887544810,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,41,2026-09-09T14:32:32.325916Z,157545987916030,157545987916030,157545987916030,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,42,2026-09-09T14:32:32.425039Z,157546087044334,157546087044334,157546087044334,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,43,2026-09-09T14:32:32.524599Z,157546186553198,157546186553198,157546186553198,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,44,2026-09-09T14:32:32.624016Z,157546286046461,157546286046461,157546286046461,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,45,2026-09-09T14:32:32.723433Z,157546385362700,157546385362700,157546385362700,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,46,2026-09-09T14:32:32.822570Z,157546484637942,157546484637942,157546484637942,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,47,2026-09-09T14:32:32.921968Z,157546583925187,157546583925187,157546583925187,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,48,2026-09-09T14:32:33.021416Z,157546683432407,157546683432407,157546683432407,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,49,2026-09-09T14:32:33.121593Z,157546783653235,157546783653235,157546783653235,-1,-1,ok,
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,fastcdr,shmem_ds,100000,10,0,measured,50,2026-09-09T14:32:33.221507Z,157546883479668,157546883479668,157546883479668,-1,-1,ok,
