run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:33:38.729449Z,157612391060900,157612391060900,157612391060900,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:33:38.829645Z,157612491650329,157612491650329,157612491650329,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:33:38.928722Z,157612590726480,157612590726480,157612590726480,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:33:39.028182Z,157612690221272,157612690221272,157612690221272,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:33:39.127549Z,157612789623090,157612789623090,157612789623090,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:33:39.228272Z,157612890257685,157612890257685,157612890257685,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:33:39.328516Z,157612990526771,157612990526771,157612990526771,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:33:39.429400Z,157613091387553,157613091387553,157613091387553,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:33:39.528588Z,157613190568654,157613190568654,157613190568654,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:33:39.628664Z,157613290588168,157613290588168,157613290588168,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:33:39.727486Z,157613389470816,157613389470816,157613389470816,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:33:39.826976Z,157613488928088,157613488928088,157613488928088,-1,-1,ok,
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,fastcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:33:39.926950Z,157613588910342,157613588910342,157613588910342,-1,-1,ok,
