run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:35:58.207840Z,157751869811206,157751869811206,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:35:58.308305Z,157751970380799,157751970380799,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:35:58.408576Z,157752070659263,157752070659263,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:35:58.509082Z,157752171162652,157752171162652,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:35:58.608343Z,157752270436898,157752270436898,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:35:58.709168Z,157752371242338,157752371242338,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:35:58.808431Z,157752470438326,157752470438326,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:35:58.908563Z,157752570584930,157752570584930,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:35:59.008322Z,157752670333293,157752670333293,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:35:59.107815Z,157752769875346,157752769875346,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:35:59.207587Z,157752869654166,157752869654166,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:35:59.306598Z,157752968678822,157752968678822,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:35:59.406637Z,157753068725429,157753068725429,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:35:59.507038Z,157753169098011,157753169098011,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:35:59.607298Z,157753269371798,157753269371798,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:35:59.707944Z,157753370023348,157753370023348,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:35:59.808849Z,157753470913178,157753470913178,-1,-1,-1,ok,
