run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:37:07.649900Z,157821311888126,157821311888126,157821311888126,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:37:07.750388Z,157821412428145,157821412428145,157821412428145,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:37:07.849621Z,157821511591131,157821511591131,157821511591131,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:37:07.949018Z,157821611044065,157821611044065,157821611044065,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:37:08.048619Z,157821710549178,157821710549178,157821710549178,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:37:08.148947Z,157821810946327,157821810946327,157821810946327,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:37:08.249186Z,157821911239221,157821911239221,157821911239221,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:37:08.350041Z,157822012057006,157822012057006,157822012057006,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:37:08.449190Z,157822111220665,157822111220665,157822111220665,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:37:08.549112Z,157822211127098,157822211127098,157822211127098,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:37:08.648121Z,157822310144259,157822310144259,157822310144259,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:37:08.747620Z,157822409629044,157822409629044,157822409629044,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:37:08.847623Z,157822509628523,157822509628523,157822509628523,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:37:08.946624Z,157822608660783,157822608660783,157822608660783,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:37:09.045940Z,157822707966200,157822707966200,157822707966200,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:37:09.146339Z,157822808354375,157822808354375,157822808354375,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:37:09.246357Z,157822908395874,157822908395874,157822908395874,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:37:09.345824Z,157823007848771,157823007848771,157823007848771,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:37:09.445992Z,157823108032981,157823108032981,157823108032981,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,19,2026-09-09T14:37:09.546749Z,157823208704851,157823208704851,157823208704851,-1,-1,ok,
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_cpp,copy,std,xcdr,shmem_ds,100000,10,0,measured,20,2026-09-09T14:37:09.645774Z,157823307747761,157823307747761,157823307747761,-1,-1,ok,
