run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:38:17.958797Z,157891620680938,157891620680938,157891620680938,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:38:18.059258Z,157891721282387,157891721282387,157891721282387,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:38:18.158218Z,157891820253071,157891820253071,157891820253071,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:38:18.257762Z,157891919814833,157891919814833,157891919814833,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:38:18.357158Z,157892019237422,157892019237422,157892019237422,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:38:18.457625Z,157892119706931,157892119706931,157892119706931,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:38:18.558095Z,157892220128379,157892220128379,157892220128379,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:38:18.658828Z,157892320869923,157892320869923,157892320869923,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:38:18.758061Z,157892420068990,157892420068990,157892420068990,-1,-1,ok,
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:38:18.857881Z,157892519908336,157892519908336,157892519908336,-1,-1,ok,
