run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,0,2026-09-09T06:33:32.949323Z,128806611426398,128806611426398,128806611426398,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,1,2026-09-09T06:33:33.049942Z,128806712085580,128806712085580,128806712085580,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,2,2026-09-09T06:33:33.148450Z,128806810588422,128806810588422,128806810588422,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,3,2026-09-09T06:33:33.248098Z,128806910251525,128806910251525,128806910251525,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,4,2026-09-09T06:33:33.347436Z,128807009592677,128807009592677,128807009592677,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,5,2026-09-09T06:33:33.447834Z,128807109994051,128807109994051,128807109994051,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,6,2026-09-09T06:33:33.548150Z,128807210309751,128807210309751,128807210309751,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,7,2026-09-09T06:33:33.650642Z,128807312771523,128807312771523,128807312771523,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,8,2026-09-09T06:33:33.748544Z,128807410634551,128807410634551,128807410634551,-1,-1,ok,
exp_constrained_pub_only_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,publish,pub,py_to_py,constrained_pub_only,exp,xcdr,shmem_ds,1000000,10,0,measured,9,2026-09-09T06:33:33.848275Z,128807510414726,128807510414726,128807510414726,-1,-1,ok,
